"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","7","19","0","0","5.6","2.1","0","5.6","0","0"
"11","7","20","0","0","3.9","2.1","0","3.9","0","0"
"11","7","21","0","0","2.2","2.1","0","2.2","0","0"
"11","7","22","0","0","1.7","2.6","0","1.7","0","0"
"11","7","23","0","0","1.1","2.1","0","1.1","0","0"
"11","8","0","0","0","1.1","2.1","0","1.1","0","0"
"11","8","1","0","0","1.1","2.6","0","1.1","0","0"
"11","8","2","0","0","1.7","2.6","0","1.7","0","0"
"11","8","3","0","0","0.6","2.6","0","0.6","0","0"
"11","8","4","0","0","1.1","2.6","0","1.1","0","0"
"11","8","5","0","0","0","3.6","0","0","0","0"
"11","8","6","0","0","0.6","2.6","0","0.6","0","0"
"11","8","7","212","20","1.1","2.6","77.979","1.131","248.237","221.247"
"11","8","8","600","41","3.9","4.1","300.806","9.045","1025.362","980.179"
"11","8","9","753","56","6.7","2.6","512.382","18.775","1764.329","1697.073"
"11","8","10","821","67","8.9","2.1","665.062","26.409","2248.117","2163.89"
"11","8","11","677","120","10","4.1","683.117","24.713","2341.438","2253.708"
"11","8","12","715","108","11.1","3.6","706.938","27.091","2396.976","2307.126"
"11","8","13","831","69","11.7","2.6","701.976","29.443","2345.18","2257.308"
"11","8","14","782","60","12.2","4.1","575.536","24.669","1945.144","1871.779"
"11","8","15","665","47","11.7","4.1","380.383","19.676","1270.322","1218.337"
"11","8","16","396","29","10","3.1","154.15","12.986","479.259","447.398"
"11","8","17","22","4","8.3","2.1","7.307","6.945","22.092","0"
"11","8","18","0","0","7.2","2.6","0","7.2","0","0"
"11","8","19","0","0","6.1","2.1","0","6.1","0","0"
"11","8","20","0","0","5","2.6","0","5","0","0"
"11","8","21","0","0","3.3","2.6","0","3.3","0","0"
"11","8","22","0","0","1.7","2.1","0","1.7","0","0"
"11","8","23","0","0","1.1","2.1","0","1.1","0","0"
"11","9","0","0","0","0.6","1.5","0","0.6","0","0"
"11","9","1","0","0","-0.6","2.1","0","-0.6","0","0"
"11","9","2","0","0","1.1","2.6","0","1.1","0","0"
"11","9","3","0","0","-1.1","2.6","0","-1.1","0","0"
"11","9","4","0","0","-1.1","2.6","0","-1.1","0","0"
"11","9","5","0","0","0","1.5","0","0","0","0"
"11","9","6","0","0","0.6","2.1","0","0.6","0","0"
"11","9","7","84","24","-0.6","2.1","48.826","-1.432","168.753","143.334"
"11","9","8","430","58","4.4","2.1","251.6","9.427","866.008","824.975"
"11","9","9","615","82","8.3","2.1","463.158","19.704","1591.768","1530.083"
"11","9","10","703","99","11.1","1.5","625","28.958","2088.777","2010.36"
"11","9","11","747","108","13.3","1.5","721.271","34.298","2360.118","2271.678"
"11","9","12","754","109","13.9","1.5","736.667","35.631","2396.078","2306.263"
"11","9","13","726","103","15.6","2.1","670.691","33.716","2195.866","2113.568"
"11","9","14","654","89","13.9","3.6","529.366","25.866","1781.697","1713.866"
"11","9","15","517","68","12.2","3.1","334.962","19.913","1124.188","1076.323"
"11","9","16","57","47","10.6","3.6","71.128","11.367","248.572","221.576"
"11","9","17","0","2","10","2.6","1.94","8.339","7.195","0"
"11","9","18","0","0","8.9","1.5","0","8.9","0","0"
"11","9","19","0","0","7.2","1.5","0","7.2","0","0"
"11","9","20","0","0","8.9","2.6","0","8.9","0","0"
"11","9","21","0","0","6.1","2.6","0","6.1","0","0"
"11","9","22","0","0","5.6","2.1","0","5.6","0","0"
"11","9","23","0","0","5.6","0","0","5.6","0","0"
"11","10","0","0","0","6.1","0","0","6.1","0","0"
"11","10","1","0","0","4.4","2.6","0","4.4","0","0"
"11","10","2","0","0","4.4","1.5","0","4.4","0","0"
"11","10","3","0","0","4.4","1.5","0","4.4","0","0"
"11","10","4","0","0","4.4","2.1","0","4.4","0","0"
"11","10","5","0","0","4.4","0","0","4.4","0","0"
"11","10","6","0","0","3.9","2.6","0","3.9","0","0"
"11","10","7","11","16","3.9","2.6","17.768","2.344","65.044","41.594"
"11","10","8","22","79","6.1","1.5","92.271","6.62","341.546","312.643"
"11","10","9","2","83","7.2","3.1","80.971","7.599","301.178","273.112"
"11","10","10","2","200","8.3","1.5","205.169","12.562","746.973","708.899"
"11","10","11","5","125","8.9","3.1","125.031","10.702","458.914","427.501"
"11","10","12","3","235","10","2.6","242.186","14.707","873.374","832.154"
"11","10","13","2","174","11.7","2.6","175.186","15.053","630.764","595.462"
"11","10","14","9","115","12.2","2.1","118.21","14.042","427.113","396.391"
"11","10","15","5","117","11.7","2.6","122.534","13.332","444.073","412.983"
"11","10","16","3","38","10.6","3.1","38.938","10.087","142.708","117.792"
"11","10","17","0","1","10","3.1","0.97","8.318","3.598","0"
"11","10","18","0","0","10","2.6","0","10","0","0"
"11","10","19","0","0","9.4","3.6","0","9.4","0","0"
