"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","AKRON, OH"
"Lat (deg N):","40.92"
"Long (deg W):","81.43"
"Elev (m):","377"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","30","7","110","119","13.3","7.2","154.625","14.696","539.147","505.95"
"4","30","8","8","139","13.9","6.7","137.28","15.213","493.395","461.222"
"4","30","9","101","332","15","7.7","406.23","20.275","1426.269","1369.689"
"4","30","10","17","132","15","7.7","144.568","16.558","516.966","484.267"
"4","30","11","2","345","13.3","7.7","338.791","17.54","1206.303","1156.145"
"4","30","12","3","379","10","12.9","374.285","13.457","1357.389","1302.864"
"4","30","13","1","329","6.1","7.7","321.645","10.236","1183.237","1133.729"
"4","30","14","8","180","5.6","8.2","179.792","7.446","669.451","633.239"
"4","30","15","7","203","3.9","9.8","200.121","5.677","750.718","712.553"
"4","30","16","4","109","3.9","9.3","105.889","4.494","398.989","368.872"
"4","30","17","1","129","1.1","8.8","122.445","1.864","466.806","435.219"
"4","30","18","1","41","0.6","8.3","38.597","0.2","148.079","123.06"
"4","30","19","0","7","0.2","6.3","6.789","-0.917","26.199","3.462"
"4","30","20","0","0","-0.1","6.3","0","-0.1","0","0"
"4","30","21","0","0","0.1","6.2","0","0.1","0","0"
"4","30","22","0","0","0.2","6","0","0.2","0","0"
"4","30","23","0","0","0.3","5.6","0","0.3","0","0"
"5","1","0","0","0","0.8","4.7","0","0.8","0","0"
"5","1","1","0","0","1","4.3","0","1","0","0"
"5","1","2","0","0","1.3","3.8","0","1.3","0","0"
"5","1","3","0","0","1.5","3.4","0","1.5","0","0"
"5","1","4","0","0","2","3","0","2","0","0"
"5","1","5","4","12","2.6","2.5","11.491","0.851","44.014","20.951"
"5","1","6","139","71","3.3","2.1","82.444","3.47","280.828","253.178"
"5","1","7","257","139","5.9","2.9","227.989","9.963","795.788","756.515"
"5","1","8","173","192","8.5","3.8","289.58","13.951","1035.616","990.159"
"5","1","9","7","207","11.1","4.6","204.351","14.374","737.92","700.066"
"5","1","10","5","328","11.7","4.8","323.772","17.142","1154.887","1106.172"
"5","1","11","19","381","12.2","5","391.587","19.041","1384.775","1329.438"
"5","1","12","0","277","12.8","5.2","268.87","17.239","958.65","915.231"
"5","1","13","5","349","12.8","5","345.477","18.653","1223.888","1173.233"
"5","1","14","69","317","12.8","4.8","375.538","19.534","1324.555","1270.996"
